"month","example_one","example_two"
"2013-07","2023","5247"
"2013-08","3343","2357"
"2013-09","1222","4395"
"2013-10","1827","2586"
"2013-11","2110","4179"
"2013-12","3344","4450"
"2014-01","18026","4428"
"2014-02","12388","11877"
"2014-03","4374","5214"
"2014-04","3713","4522"
"2014-05","3412","5542"
"2014-06","4847","4832"
"2014-07","7181","6812"
"2014-08","2124","5681"
"2014-09","2165","2332"
"2014-10","1691","1062"
"2014-11","1239","6015"
"2014-12","7706","1421"
"2015-01","5228","4402"
"2015-02","2918","8130"
"2015-03","5067","3160"
"2015-04","8682","4728"
